record_date,transaction_type,transaction_today_amt
2021-10-01,Deposits,29219
2021-10-01,Withdrawals,111934
2021-10-04,Deposits,27271
2021-10-04,Withdrawals,18401
2021-10-05,Deposits,79400
2021-10-05,Withdrawals,121332
2021-10-06,Deposits,17838
2021-10-06,Withdrawals,21370
2021-10-07,Deposits,170498
2021-10-07,Withdrawals,180011
2021-10-08,Deposits,13345
2021-10-08,Withdrawals,17884
2021-10-12,Deposits,94826
2021-10-12,Withdrawals,117634
2021-10-13,Deposits,52762
2021-10-13,Withdrawals,39294
2021-10-14,Deposits,114303
2021-10-14,Withdrawals,140257
2021-10-15,Deposits,157155
2021-10-15,Withdrawals,152822
2021-10-18,Deposits,100836
2021-10-18,Withdrawals,16918
2021-10-19,Deposits,100444
2021-10-19,Withdrawals,102682
2021-10-20,Deposits,22903
2021-10-20,Withdrawals,38068
2021-10-21,Deposits,178529
2021-10-21,Withdrawals,146740
2021-10-22,Deposits,73551
2021-10-22,Withdrawals,13890
2021-10-25,Deposits,29197
2021-10-25,Withdrawals,18139
2021-10-26,Deposits,140188
2021-10-26,Withdrawals,98987
2021-10-27,Deposits,18091
2021-10-27,Withdrawals,42671
2021-10-28,Deposits,172661
2021-10-28,Withdrawals,149396
2021-10-29,Deposits,39183
2021-10-29,Withdrawals,20922
2021-11-01,Deposits,299864
2021-11-01,Withdrawals,308547
2021-11-02,Deposits,142747
2021-11-02,Withdrawals,100792
2021-11-03,Deposits,16581
2021-11-03,Withdrawals,40922
2021-11-04,Deposits,163565
2021-11-04,Withdrawals,182172
2021-11-05,Deposits,10837
2021-11-05,Withdrawals,16157
2021-11-08,Deposits,23939
2021-11-08,Withdrawals,16686
2021-11-09,Deposits,86925
2021-11-09,Withdrawals,101258
2021-11-10,Deposits,17207
2021-11-10,Withdrawals,41723
2021-11-12,Deposits,131526
2021-11-12,Withdrawals,143155
2021-11-15,Deposits,220637
2021-11-15,Withdrawals,228728
2021-11-16,Deposits,101941
2021-11-16,Withdrawals,114941
2021-11-17,Deposits,17588
2021-11-17,Withdrawals,37317
2021-11-18,Deposits,189143
2021-11-18,Withdrawals,199887
2021-11-19,Deposits,13894
2021-11-19,Withdrawals,11804
2021-11-22,Deposits,24470
2021-11-22,Withdrawals,31542
2021-11-23,Deposits,145394
2021-11-23,Withdrawals,143476
2021-11-24,Deposits,18195
2021-11-24,Withdrawals,42318
2021-11-26,Deposits,197233
2021-11-26,Withdrawals,201185
2021-11-29,Deposits,25144
2021-11-29,Withdrawals,18290
2021-11-30,Deposits,387466
2021-11-30,Withdrawals,318259
2021-12-01,Deposits,33774
2021-12-01,Withdrawals,87778
2021-12-02,Deposits,204061
2021-12-02,Withdrawals,238016
2021-12-03,Deposits,13986
2021-12-03,Withdrawals,37990
2021-12-06,Deposits,23346
2021-12-06,Withdrawals,17558
2021-12-07,Deposits,128324
2021-12-07,Withdrawals,90377
2021-12-08,Deposits,19284
2021-12-08,Withdrawals,39065
2021-12-09,Deposits,128614
2021-12-09,Withdrawals,135617
2021-12-10,Deposits,17066
2021-12-10,Withdrawals,20532
2021-12-13,Deposits,35738
2021-12-13,Withdrawals,16812
2021-12-14,Deposits,100865
2021-12-14,Withdrawals,154967
2021-12-15,Deposits,204462
2021-12-15,Withdrawals,225675
2021-12-16,Deposits,167580
2021-12-16,Withdrawals,183760
2021-12-17,Deposits,20905
2021-12-17,Withdrawals,15138
2021-12-20,Deposits,34463
2021-12-20,Withdrawals,17437
2021-12-21,Deposits,169715
2021-12-21,Withdrawals,88098
2021-12-22,Deposits,98154
2021-12-22,Withdrawals,47159
2021-12-23,Deposits,137015
2021-12-23,Withdrawals,157620
2021-12-24,Deposits,14604
2021-12-24,Withdrawals,7843
2021-12-27,Deposits,32558
2021-12-27,Withdrawals,13416
2021-12-28,Deposits,150959
2021-12-28,Withdrawals,85559
2021-12-29,Deposits,32043
2021-12-29,Withdrawals,16258
2021-12-30,Deposits,190783
2021-12-30,Withdrawals,190595
2021-12-31,Deposits,287736
2021-12-31,Withdrawals,165804
2022-01-03,Deposits,58627
2022-01-03,Withdrawals,98432
2022-01-04,Deposits,148502
2022-01-04,Withdrawals,90111
2022-01-05,Deposits,27330
2022-01-05,Withdrawals,17265
2022-01-06,Deposits,135301
2022-01-06,Withdrawals,129502
2022-01-07,Deposits,14824
2022-01-07,Withdrawals,18938
2022-01-10,Deposits,30075
2022-01-10,Withdrawals,18633
2022-01-11,Deposits,150195
2022-01-11,Withdrawals,90725
2022-01-12,Deposits,22531
2022-01-12,Withdrawals,40204
2022-01-13,Deposits,138866
2022-01-13,Withdrawals,187411
2022-01-14,Deposits,31282
2022-01-14,Withdrawals,19183
2022-01-18,Deposits,337766
2022-01-18,Withdrawals,204385
2022-01-19,Deposits,33884
2022-01-19,Withdrawals,40327
2022-01-20,Deposits,149089
