record_date,tax_deposit_type,tax_deposit_type_desc,tax_deposit_today_amt,tax_deposit_mtd_amt,tax_deposit_fytd_amt,table_nbr,table_nm,sub_table_name,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2016-01-08,Individual Income Taxes,null,278,1527,10491,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,08
2016-01-08,Railroad Retirement Taxes,null,60,112,1471,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,08
2016-01-08,Excise Taxes,null,139,202,19387,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,08
2016-01-08,Corporation Income Taxes,null,49,316,94979,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,08
2016-01-08,Federal Unemployment Taxes,null,13,56,848,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,08
2016-01-08,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,12,298,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,08
2016-01-08,Cash Federal Tax Deposits,Direct,24,187,8312,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,08
2016-01-08,Cash Federal Tax Deposits,Through Depositaries,7130,66244,722140,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,08
2016-01-08,Inter-agency Transfers,null,36,3108,26652,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,01,08
2016-01-11,Withheld Income and Employment Taxes,null,13644,80957,643274,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,01,11
2016-01-11,Individual Income Taxes,null,619,2146,11110,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,11
2016-01-11,Railroad Retirement Taxes,null,45,157,1516,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,11
2016-01-11,Excise Taxes,null,87,290,19474,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,11
2016-01-11,Corporation Income Taxes,null,130,446,95108,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,11
2016-01-11,Federal Unemployment Taxes,null,14,70,862,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,11
2016-01-11,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,14,299,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,11
2016-01-11,Cash Federal Tax Deposits,Direct,27,214,8339,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,11
2016-01-11,Cash Federal Tax Deposits,Through Depositaries,14252,80496,736392,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,11
2016-01-11,Inter-agency Transfers,null,262,3369,26913,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,01,11
2016-01-12,Withheld Income and Employment Taxes,null,1847,82804,645120,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,01,12
2016-01-12,Individual Income Taxes,null,606,2752,11716,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,12
2016-01-12,Railroad Retirement Taxes,null,1,158,1517,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,12
2016-01-12,Excise Taxes,null,392,682,19866,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,12
2016-01-12,Corporation Income Taxes,null,84,530,95193,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,12
2016-01-12,Federal Unemployment Taxes,null,13,83,875,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,12
2016-01-12,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,15,300,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,12
2016-01-12,Cash Federal Tax Deposits,Direct,50,264,8388,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,12
2016-01-12,Cash Federal Tax Deposits,Through Depositaries,2855,83352,739248,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,12
2016-01-12,Inter-agency Transfers,null,39,3409,26952,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,01,12
2016-01-13,Withheld Income and Employment Taxes,null,7032,89835,652152,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,01,13
2016-01-13,Individual Income Taxes,null,1124,3876,12840,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,13
2016-01-13,Railroad Retirement Taxes,null,7,166,1525,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,13
2016-01-13,Excise Taxes,null,372,1054,20238,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,13
2016-01-13,Corporation Income Taxes,null,209,738,95401,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,13
2016-01-13,Federal Unemployment Taxes,null,19,102,894,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,13
2016-01-13,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,15,301,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,13
2016-01-13,Cash Federal Tax Deposits,Direct,96,360,8485,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,13
2016-01-13,Cash Federal Tax Deposits,Through Depositaries,8445,91797,747693,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,13
2016-01-13,Inter-agency Transfers,null,222,3630,27174,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,01,13
2016-01-14,Withheld Income and Employment Taxes,null,2447,92282,654599,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,01,14
2016-01-14,Individual Income Taxes,null,1665,5540,14505,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,14
2016-01-14,Railroad Retirement Taxes,null,6,172,1531,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,14
2016-01-14,Excise Taxes,null,2143,3198,22382,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,14
2016-01-14,Corporation Income Taxes,null,681,1419,96082,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,14
2016-01-14,Federal Unemployment Taxes,null,19,121,913,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,14
2016-01-14,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,17,302,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,14
2016-01-14,Cash Federal Tax Deposits,Direct,738,1098,9223,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,14
2016-01-14,Cash Federal Tax Deposits,Through Depositaries,6219,98015,753911,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,14
2016-01-14,Inter-agency Transfers,null,5,3636,27180,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,01,14
2016-01-15,Withheld Income and Employment Taxes,null,12486,104769,667086,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,01,15
2016-01-15,Individual Income Taxes,null,5019,10560,19524,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,15
2016-01-15,Railroad Retirement Taxes,null,42,214,1573,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,15
2016-01-15,Excise Taxes,null,44,3241,22426,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,15
2016-01-15,Corporation Income Taxes,null,6484,7903,102566,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,15
2016-01-15,Federal Unemployment Taxes,null,55,176,968,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,15
2016-01-15,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,17,303,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,15
2016-01-15,Cash Federal Tax Deposits,Direct,31,1130,9254,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,15
