record_date,tax_refund_type,tax_refund_type_desc,tax_refund_today_amt,tax_refund_mtd_amt,tax_refund_fytd_amt,table_nbr,table_nm,sub_table_name,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2016-01-04,IRS Tax Refunds Business,EFT,0,0,5602,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,04
2016-01-04,IRS Tax Refunds Business,Checks,0,0,9795,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,04
2016-01-04,IRS Tax Refunds Individual,Checks,167,167,12021,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,04
2016-01-04,IRS Tax Refunds Individual,EFT,70,70,8121,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,04
2016-01-05,IRS Tax Refunds Business,Checks,273,273,10067,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,05
2016-01-05,IRS Tax Refunds Business,EFT,198,198,5800,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,05
2016-01-05,IRS Tax Refunds Individual,Checks,0,167,12021,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,05
2016-01-05,IRS Tax Refunds Individual,EFT,0,70,8121,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,05
2016-01-06,IRS Tax Refunds Business,Checks,0,273,10068,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,06
2016-01-06,IRS Tax Refunds Business,EFT,0,198,5800,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,06
2016-01-06,IRS Tax Refunds Individual,Checks,0,167,12021,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,06
2016-01-06,IRS Tax Refunds Individual,EFT,0,70,8121,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,06
2016-01-07,IRS Tax Refunds Business,Checks,2,275,10070,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,07
2016-01-07,IRS Tax Refunds Business,EFT,0,198,5800,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,07
2016-01-07,IRS Tax Refunds Individual,Checks,0,167,12021,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,07
2016-01-07,IRS Tax Refunds Individual,EFT,0,70,8121,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,07
2016-01-08,IRS Tax Refunds Business,Checks,5,280,10074,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,08
2016-01-08,IRS Tax Refunds Business,EFT,4,201,5804,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,08
2016-01-08,IRS Tax Refunds Individual,Checks,7,174,12028,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,08
2016-01-08,IRS Tax Refunds Individual,EFT,0,70,8121,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,08
2016-01-11,IRS Tax Refunds Business,Checks,20,300,10094,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,11
2016-01-11,IRS Tax Refunds Business,EFT,33,234,5836,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,11
