record_date,debt_catg,debt_catg_desc,close_today_bal,open_today_bal,open_month_bal,open_fiscal_year_bal,table_nbr,table_nm,sub_table_name,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2016-01-04,Debt Held by the Public,null,13669501.0,13672522.0,13672522.0,13123847.0,III-C,Debt Subject to Limit,Balance Transactions,1,2016,2,2016,1,01,04
2016-01-04,Intragovernmental Holdings,null,5231432.0,5249657.0,5249657.0,5026770.0,III-C,Debt Subject to Limit,Balance Transactions,2,2016,2,2016,1,01,04
2016-01-04,Less Debt Not Subject to Limit,Other Debt,483.0,483.0,483.0,483.0,III-C,Debt Subject to Limit,Balance Transactions,4,2016,2,2016,1,01,04
2016-01-04,Less Debt Not Subject to Limit,Unamortized Discount,24846.0,24912.0,24912.0,24350.0,III-C,Debt Subject to Limit,Balance Transactions,5,2016,2,2016,1,01,04
2016-01-04,Less Debt Not Subject to Limit,Federal Financing Bank,15000.0,15000.0,15000.0,12315.0,III-C,Debt Subject to Limit,Balance Transactions,6,2016,2,2016,1,01,04
2016-01-04,Less Debt Not Subject to Limit,Hope Bonds,39.0,39.0,39.0,494.0,III-C,Debt Subject to Limit,Balance Transactions,7,2016,2,2016,1,01,04
2016-01-04,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0.0,0.0,0.0,0.0,III-C,Debt Subject to Limit,Balance Transactions,8,2016,2,2016,1,01,04
2016-01-04,Statutory Debt Limit,null,,,,18113000.0,III-C,Debt Subject to Limit,Balance Transactions,10,2016,2,2016,1,01,04
2016-01-05,Debt Held by the Public,null,13670584.0,13669501.0,13672522.0,13123847.0,III-C,Debt Subject to Limit,Balance Transactions,1,2016,2,2016,1,01,05
2016-01-05,Intragovernmental Holdings,null,5247862.0,5231432.0,5249657.0,5026770.0,III-C,Debt Subject to Limit,Balance Transactions,2,2016,2,2016,1,01,05
2016-01-05,Less Debt Not Subject to Limit,Other Debt,483.0,483.0,483.0,483.0,III-C,Debt Subject to Limit,Balance Transactions,4,2016,2,2016,1,01,05
2016-01-05,Less Debt Not Subject to Limit,Unamortized Discount,24830.0,24846.0,24912.0,24350.0,III-C,Debt Subject to Limit,Balance Transactions,5,2016,2,2016,1,01,05
2016-01-05,Less Debt Not Subject to Limit,Federal Financing Bank,15000.0,15000.0,15000.0,12315.0,III-C,Debt Subject to Limit,Balance Transactions,6,2016,2,2016,1,01,05
2016-01-05,Less Debt Not Subject to Limit,Hope Bonds,39.0,39.0,39.0,494.0,III-C,Debt Subject to Limit,Balance Transactions,7,2016,2,2016,1,01,05
2016-01-05,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0.0,0.0,0.0,0.0,III-C,Debt Subject to Limit,Balance Transactions,8,2016,2,2016,1,01,05
2016-01-05,Statutory Debt Limit,null,,,,18113000.0,III-C,Debt Subject to Limit,Balance Transactions,10,2016,2,2016,1,01,05
2016-01-06,Debt Held by the Public,null,13670032.0,13670584.0,13672522.0,13123847.0,III-C,Debt Subject to Limit,Balance Transactions,1,2016,2,2016,1,01,06
2016-01-06,Intragovernmental Holdings,null,5248349.0,5247862.0,5249657.0,5026770.0,III-C,Debt Subject to Limit,Balance Transactions,2,2016,2,2016,1,01,06
2016-01-06,Less Debt Not Subject to Limit,Other Debt,483.0,483.0,483.0,483.0,III-C,Debt Subject to Limit,Balance Transactions,4,2016,2,2016,1,01,06
2016-01-06,Less Debt Not Subject to Limit,Unamortized Discount,24813.0,24830.0,24912.0,24350.0,III-C,Debt Subject to Limit,Balance Transactions,5,2016,2,2016,1,01,06
2016-01-06,Less Debt Not Subject to Limit,Federal Financing Bank,15000.0,15000.0,15000.0,12315.0,III-C,Debt Subject to Limit,Balance Transactions,6,2016,2,2016,1,01,06
2016-01-06,Less Debt Not Subject to Limit,Hope Bonds,39.0,39.0,39.0,494.0,III-C,Debt Subject to Limit,Balance Transactions,7,2016,2,2016,1,01,06
2016-01-06,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0.0,0.0,0.0,0.0,III-C,Debt Subject to Limit,Balance Transactions,8,2016,2,2016,1,01,06
2016-01-06,Statutory Debt Limit,null,,,,18113000.0,III-C,Debt Subject to Limit,Balance Transactions,10,2016,2,2016,1,01,06
2016-01-07,Debt Held by the Public,null,13634967.0,13670032.0,13672522.0,13123847.0,III-C,Debt Subject to Limit,Balance Transactions,1,2016,2,2016,1,01,07
2016-01-07,Intragovernmental Holdings,null,5252910.0,5248349.0,5249657.0,5026770.0,III-C,Debt Subject to Limit,Balance Transactions,2,2016,2,2016,1,01,07
2016-01-07,Less Debt Not Subject to Limit,Other Debt,483.0,483.0,483.0,483.0,III-C,Debt Subject to Limit,Balance Transactions,4,2016,2,2016,1,01,07
2016-01-07,Less Debt Not Subject to Limit,Unamortized Discount,24993.0,24813.0,24912.0,24350.0,III-C,Debt Subject to Limit,Balance Transactions,5,2016,2,2016,1,01,07
2016-01-07,Less Debt Not Subject to Limit,Federal Financing Bank,15000.0,15000.0,15000.0,12315.0,III-C,Debt Subject to Limit,Balance Transactions,6,2016,2,2016,1,01,07
2016-01-07,Less Debt Not Subject to Limit,Hope Bonds,39.0,39.0,39.0,494.0,III-C,Debt Subject to Limit,Balance Transactions,7,2016,2,2016,1,01,07
2016-01-07,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0.0,0.0,0.0,0.0,III-C,Debt Subject to Limit,Balance Transactions,8,2016,2,2016,1,01,07
2016-01-07,Statutory Debt Limit,null,,,,18113000.0,III-C,Debt Subject to Limit,Balance Transactions,10,2016,2,2016,1,01,07
2016-01-08,Debt Held by the Public,null,13635121.0,13634967.0,13672522.0,13123847.0,III-C,Debt Subject to Limit,Balance Transactions,1,2016,2,2016,1,01,08
2016-01-08,Intragovernmental Holdings,null,5253519.0,5252910.0,5249657.0,5026770.0,III-C,Debt Subject to Limit,Balance Transactions,2,2016,2,2016,1,01,08
2016-01-08,Less Debt Not Subject to Limit,Other Debt,483.0,483.0,483.0,483.0,III-C,Debt Subject to Limit,Balance Transactions,4,2016,2,2016,1,01,08
2016-01-08,Less Debt Not Subject to Limit,Unamortized Discount,24976.0,24993.0,24912.0,24350.0,III-C,Debt Subject to Limit,Balance Transactions,5,2016,2,2016,1,01,08
2016-01-08,Less Debt Not Subject to Limit,Federal Financing Bank,15000.0,15000.0,15000.0,12315.0,III-C,Debt Subject to Limit,Balance Transactions,6,2016,2,2016,1,01,08
2016-01-08,Less Debt Not Subject to Limit,Hope Bonds,39.0,39.0,39.0,494.0,III-C,Debt Subject to Limit,Balance Transactions,7,2016,2,2016,1,01,08
2016-01-08,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0.0,0.0,0.0,0.0,III-C,Debt Subject to Limit,Balance Transactions,8,2016,2,2016,1,01,08
2016-01-08,Statutory Debt Limit,null,,,,18113000.0,III-C,Debt Subject to Limit,Balance Transactions,10,2016,2,2016,1,01,08
2016-01-11,Debt Held by the Public,null,13634547.0,13635121.0,13672522.0,13123847.0,III-C,Debt Subject to Limit,Balance Transactions,1,2016,2,2016,1,01,11
2016-01-11,Intragovernmental Holdings,null,5257322.0,5253519.0,5249657.0,5026770.0,III-C,Debt Subject to Limit,Balance Transactions,2,2016,2,2016,1,01,11
2016-01-11,Less Debt Not Subject to Limit,Other Debt,483.0,483.0,483.0,483.0,III-C,Debt Subject to Limit,Balance Transactions,4,2016,2,2016,1,01,11
2016-01-11,Less Debt Not Subject to Limit,Unamortized Discount,24924.0,24976.0,24912.0,24350.0,III-C,Debt Subject to Limit,Balance Transactions,5,2016,2,2016,1,01,11
2016-01-11,Less Debt Not Subject to Limit,Federal Financing Bank,15000.0,15000.0,15000.0,12315.0,III-C,Debt Subject to Limit,Balance Transactions,6,2016,2,2016,1,01,11
2016-01-11,Less Debt Not Subject to Limit,Hope Bonds,39.0,39.0,39.0,494.0,III-C,Debt Subject to Limit,Balance Transactions,7,2016,2,2016,1,01,11
